103.186.31.45 bot - "2026-02-07 19:26:42" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:43" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:43" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:43" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:44" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:44" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:44" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:44" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:45" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:45" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
47.82.11.80 - - "2026-02-07 22:02:27" https://journals.cbsua.edu.ph/index.php/Journals/issue/view/1 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
47.82.11.57 - - "2026-02-07 22:21:46" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
